지역,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306
서울,744,744,744,744,744,743,743,744,744,745,745,746,746,747,747,747,748,748,748,748,750,751,752,755,757,759,760,762,763,763,763,762,760,761,761,761
서울 도심권,919,919,919,912,912,912,912,913,913,913,913,913,914,916,916,917,917,919,921,921,921,922,924,926,926,927,927,928,928,928,928,928,930,948,942,941
서울 동북권,608,608,608,608,608,608,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,611,612,614,614,615,619,622,622,620,615,614,614,616,616
서울 서북권,710,710,710,710,710,710,710,710,710,711,711,711,711,711,711,711,711,712,712,712,713,715,715,715,717,720,724,724,724,724,724,724,724,724,724,722
서울 서남권,670,670,670,670,670,667,668,668,668,669,669,669,669,669,669,669,670,669,670,670,670,670,670,673,674,675,676,677,678,678,678,678,672,671,671,670
서울 동남권,869,869,869,871,871,872,872,873,874,878,879,879,880,881,883,884,884,885,885,885,890,892,895,900,904,909,910,912,912,912,912,913,913,913,913,915
부산,511,511,511,508,508,508,510,510,510,510,510,510,513,513,514,514,515,516,517,517,518,518,518,518,519,519,520,523,526,527,527,528,527,528,526,526
대구,486,485,485,486,486,490,493,495,495,495,498,498,499,499,500,500,500,500,500,500,500,500,500,500,501,502,502,503,503,503,502,502,502,502,502,502
인천,541,541,541,541,541,543,542,541,541,543,542,542,538,551,553,553,553,553,555,556,556,556,557,556,557,552,553,553,553,548,548,548,548,548,547,547
광주,415,415,407,407,407,407,406,406,406,406,406,406,406,409,410,411,413,415,416,417,416,420,426,427,427,427,427,427,427,426,426,425,425,423,423,420
대전,462,462,462,462,464,467,468,468,465,467,468,472,474,474,475,471,471,470,470,470,470,470,470,470,470,470,469,469,469,468,468,466,465,466,469,465
울산,464,464,464,467,467,468,468,472,475,477,479,479,479,479,479,479,479,479,480,481,481,481,481,481,482,483,483,483,482,482,481,481,480,479,480,480
세종,409,409,409,409,409,409,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,412,412,412,412,412,412,412,412,413,413,413,414,415
경기,624,628,628,631,631,632,633,634,634,638,640,643,644,634,648,640,655,658,659,659,659,659,662,664,666,669,670,668,666,666,655,664,667,658,658,659
